PROVIDER NUMBER,PROVIDER NAME,ADDRESS,Phone No
4886,SMILE ESSENTIALS DENTAL CLINIC LLC(DUBAI),"Suite #314, Al Attar Shopping Mall, Karama - ",04-2979464
5287,UNIQUE SMILE CLINIC LLC (DUBAI),"Office 902, Al Serkal Building, Port Saeed, Deira, Dubai, UAE - ",+97142502471
5304,ORIS DENTAL CENTER MIRDIF (DUBAI),"4003, Al Barajeel Complex, Street #47, Algeria Street, Near Uptown Mirdif � Dubai, UAE - ",+97142847774
5305,ORIS DENTAL CENTER BRANCH JUMEIRAH(DUBAI),"Villa No. 855 A, Umm Suqeim 3, Jumeirah Beach Road, Opposite Wild Wadi � Dubai, UAE - ",+97143809990
5518,MINT DENTAL CARE LLC(DUBAI),"1906, Tameem House, Barsha Heights-Tecom, Dubai, UAE - ",04 513 5721
5555,ITALIAN DENTAL CLINIC(DUBAI),"26th STREET BUILDING 33 UNIT 1, GROUND FLOOR, DHCC - ",+971 4 4580040
5627,VIENNA DENTAL CLINIC FZ-LLC(DUBAI),"P1, SHATHA TOWER, Mezzanine Floor, Al Falak Street, PO Box 502416, DUBAI MEDIA CITY - Dubai, United Arab Emirates",+971 4 589 7990
5742,HELLENIC DENTAL CLINIC LLC (DUBAI),"Villa G4U1, Al Wasl Road, Jumeirah 1, PO Box 21094 - Dubai, United Arab Emirates",043490422
5762,ROYAL DENTISTS CENTER DMCC(DUBAI),"1804 Fortune Tower Al Thanyah Fifth, Jumeirah Lakes Towers, Dubai, UAE - ",+971 4 422 9930
5857,SAHARA DENTAL CLINIC AND ORTHODONTIC CENTRE L.L.C (DUBAI),"Villa 902, Ground Floor, Umm Suqeim, Al Wasl, Block 902, PO Box 25307 - Dubai, United Arab Emirates",043804666
6061,CREATIVE SMILE DENTAL SURGERY RIGGA BRANCH(DUBAI),"M01, E -Block , Fatima Al Owais  Building , Al Rigga Road, Dubai - ",+9714 295 0023
6062,CREATIVE SMILE DENTAL SURGERY BUR DUBAI BRANCH(DUBAI),"210, Al Ain Centre/ Computer Plaza Building , Al Mankhool Road, Dubai - ",+9714 252 3559
6193,YASMIN SHIFA DENTAL CLINIC LLC(DUBAI),"601,6th Floor, Al Qusais Plaza; Damascus Street, Dubai, UAE - ",04-2638393
6329,BASMAT AL BAYAN MEDICAL CENTER(DUBAI),"1st Floor, Jumairah 1, Jumairah Center, Near Domino's Pizza, Dubai, UAE - ",043434701
6538,REVIVE DENTAL CLINIC (DUBAI),"Ibn Sina building #27, Block-C, Office number 303, DHCC, Dubai - ",(04) 276 4269
6543,QUEENS DENTAL CENTER L.L.C (DUBAI),"Ground Floor, Hamdan Juma Building, Behind Karama Fish Market, Al Karama - Dubai, United Arab Emirates",+97143984445
6553,BISSAN DENTAL CENTER LLC (DUBAI),"Office 1103, Tameem House, Tecom� Al Barsha Heights POBOX 392488, Dubai - ",+971-4-3743388
6571,VENEERS DENTAL CENTER LLC (DUBAI),"Port Saeed, Centurion Star Tower, Block A, Office 1105 Opposite Deira City Center - ",04-42545024
6671,AXIS DENTAL CLINIC LLC (DUBAI),"NAEMA ALI BUAMIM BLD, 4th Floor, 405 2ND DECEMBER STREET, AL HUDAIBA, SATWA, DUBAI - ",04 3984350
6673,THE DENTAL STUDIO PLUS LLC (DUBAI),"Suite 102, 1st Floor, Cayan Business Center, Barsha Heights (Tecom) - ",04-3687070
6921,DR MOHAMED RAFI DENTAL CLINIC (DUBAI),Near Satwa roundabout - ,+971 43797934
6927,FAMILY DENTAL CLINIC - FZE (DUBAI), - ,
6956,BEST CLINIC LLC (DUBAI),"103, Al Karama 3, Kuwait Street, Opposite to Al attar plaza and Karama Centre - Dubai - ",043588965
6959,SEVEN DENTAL CENTRE LLC (DUBAI),"Jumeirah 3 Arenco, 506B - ",04 3952177
1055,MEDINOVA DIAGNOSTIC CENTER (MOOPENS DUBAI),"2nd Floor, Union Pharmacy Building, Raffa Road, Bur Dubai, UA E - ",9714-3936396
1168,BIOSYTECH MEDICAL LABORATORY ( DUBAI),"Villa 174,  Abdulrazzaq Bin Abdulaziz Al Mutawa Building, Mankhool Street 174, Beside Dubai Nersery . Al Hubaiba, Dubai - ",009714-3988567
1239,ADVANCED RADIOLOGY CENTRE AND CLINICAL LABORATORY(DUBAI),"Villa 687, Jumeirah Beach Road,Umm Suqeim 2 - ",009714-3790902
1347,AL DIYAFA MEDICAL DIAGNOSTIC CTR (DUBAI),"Above Sedar Show Room Building, 2nd Floor, Flat 205, Al Diyafa Road - ",+9714-345 7100
1367,CURE WELL DIAGNOSTIC CENTRE (DUBAI),"Bank Street, Getwell Building ? Bur Dubai - ",+9714-3555995
1412,MEDLAB ANALYTIK (DUBAI),"701, 7th Floor, Block A, IBN Sina Building 27, DHCC, PO Box 505011 Behind Grand Hyatt hotel, Oud Mehta Road - Dubai, United Arab Emirates",+9714-3622960
1504,MEDSOL DUBAI MEDICAL LABORATORY(DUBAI ),"Dubai Tower, 2nd Floor, Unit 209, Baniyas Square, Deira - ",+971-4-2213166
1505,HISTOPATHOLOGY & SPECIAL(HSL)GHI- DUBAI,"Dubai Real Estate Center, Room No. 112, Al Mina Street - ",+971-4-3454431 /2309275
1506,AL ABBAR LABORATORIES FOR RESEARCH(DUBAI),"Flat 501 UBL Bldg, Bank Street Bur Dubai - ",+971-4-3592641 / 044298519 * 122
1892,PREMIER DIAGNOSTIC CENTER L.L.C (DUBAI),"AL MUTEENA BUILDING, GROUND FLOOR, SALAHUDDIN STREET, DEIRA, DUBAI, UAE - ","009714 - 2208899,"
1961,TRUST MEDICAL LABORATORY (DUBAI),"Mezzanine Floor, Flat #5,Al Khalafi Bldg ( Dubai Islamic Bank),Al Waheeda Street, Al Mamzar Area, - ",009714-2398766
1968,MEDICAL DIAGNOSTIC & IMAGING CENTRE POLYCLINIC(MEDIC)(DUBAI),"Ansar Gallery, Karama Office Block 2Nd Floor, 208, Dubai, UAE - ",009714 - 3554111/3885000
1992,AL ETIHAD DIAGNOSTIC CENTRE (DUBAI),"Near Al Noor Clinic,At the Intersection between Al Wasl & Al Manara Roads,Al Wasl Road, - ",009714 - 3952231
2069,GLOBAL HAWK IMAGING & DIAGNOSTICS (DUBAI,"Suite #2,Next to Deira City Center,Garhoud, Deira, - ",009714 - 2364477
2199,NEUBERG DIAGNOSTICS MIDDLE EAST L.L.C (DUBAI),"Flat: M7, M8 & M9, Mezzanine Floor, Pyramid Center, Umm Hurair First, Oud Metha, PO Box 123532 - Dubai, United Arab Emirates",009714 - 3343727
2341,UNILABS MIDDLE EAST LLC (DUBAI),"OpSheikh Hamdan Award Complex,OPP Of Union House, Near Dubai Dry Docks,  Jumeirah 1, - ",009714 - 3586606
2394,EMIRATES SPECIALIZED LABORATORY (DUBAI),"Jumeirah Villa #1065, Umm Suqueim 2, Al Wasl Road, - ",00971-502135990 (dr.huda)
3110,YORK DIAGNOSTIC LABOR JLT-(DUBAI),OFFICE 509 - 510 Indigo Tower Cluster D Jumeirah Lakes Towers - ,009714 432 7470
3292,OPTIMUM DIAGNOSTIC CLINIC DMCC (DUBAI),"X-3 Tower, 8th Floor, Jumeirah Lake Towers, Dubai - ",009714 - 3605222
3456,EASTERN CLINIC LABORATORIES (DUBAI),"Office #105, First Floor, Elite Business Center, Behind Mall of Emirates Al Barsha 1,, - ",009714 - 3255730
3741,APOLLO MEDICAL DIAGNOSTIC CENTRE (DUBAI),"Office #302, Baniyas Center Bldg, Near to Radisson Blu Hotel, Al Maktoum Street, Deira, - ",009714 - 2270001
3801,PH DIAGNOSTICS  LLC (DUBAI),"Al Abbas Bldg. 1, 1St Floor, A Block, Khalid Bin Al Waleed Street Opp. NBQ Bank, Near Burjuman Metro Station - Dubai - ",009714 - 3543350
4342,DOCTORS CLINIC DIAGNOSTIC CENTER (DUBAI),"03r1-03r3, Ground Floor Block A, Al Razi Building 64,Dubai Healthcare City - ",971 4 4579111
4359,MEGA SCAN CENTRE (DUBAI),"Mezzanine Floor, Atrium Centre,Khaled Bin Al Waleed Street, Bur Dubai - ",04 358 5888
4431,AIRIS IMAGING AND DIAGNOSTIC CENTRE (DUBAI),"Al Nahda 1, Amman Stret,Qusais - ",04-8525916
4475,DOW DIAGNOSTICS FZ LLC (DUBAI),"Shaikh Almur Bin Maktoum Juma Al Maktoum, Al Wasl Road Apartment/Villa Number: 5-10 V, Dubai - ",044343966
4576,CPS CLINICAL PATHOLOGY SERVICES (DUBAI),"Al Qouz, Umm Suqeim Road Dubai - ",04-3406766/04-3407866
4754,ADVANCED DIAGNOSTIC CENTER (DUBAI),"Hamarain Shopping Center ,Deira - ",971-4-320-3883
4865,MICRO HEALTH MEDICAL LAB (DUBAI),"Hamrain Centre, Gate No. 6, 2nd Floor - ",+971 42627574
4972,ASTER IMAGING CENTRE AL MUTEENA(DUBAI),"Shop No. 4, Ground Floor, Al Ghurair Real Estate Building, Al Muteena Street, Deira, Dubai - ",04-2532900
5055,ALPHA MEDICAL LABORATORY(DUBAI),"Al Ameri Tower, 103, Barsha Heights, Dubai - ",04 5143255
5387,RNS DIAGNOSTICS & IMAGING (DUBAI),"3 AL SHAYA BUILDING,  AL ITTIHAD RD, PORT SAEED, DEIRA, DUBAI - ",043246646
5916,STAR METROPOLIS CLINICAL LABORATORIES(DUBAI),"Office 802-803, 8th Floor, Al Mussalla Towers, Khalid Bin Al Waleed Road, Bur Dubai, Dubai - ",04- 3231647
6314,RESONANCE IMAGING AND DIAGNOSTIC CENTER(DUBAI),"Villa 1204, Al Wasl Road, Umm Suqeim 2, Dubai - ",04 229 5550
6388,PROFICIENCY HEALTHCARE DIAGNOSTIC LABORATORIES LLC BARSHA (DUBAI),"Villa 1065, Al Wasl Road, Umm Suqeim 2, Dubai, Uae (Opposite Of Union Coop) - ",04-348 6645
6649,BIOHEALTH LABS (DUBAI),Shaikh Rashid Building - Off No 107 - Umm Hurair Rd - Dubai - ,
7190,LIFE DIAGNOSTICS MEDICAL LABORATORIES (DUBAI),"Business Bay, Bay Square,  Building 6, Plaza Level, P.O.  Box 418021 - Dubai, United Arab Emirates",600551636
2095,MAGRABI - JUMEIRA VILLAGE CENTRE (DUBAI),"Shop #1,Jumeira, Dubai, UAE - ",009714- 3499984
2097,MAGRABI- IBN  BATTUTTA BR.(DUBAI),"Ibn Battuta Mall, China Court, Unit #147 A, - ","009714 - 3685683,"
2098,MAGRABI- MALL OFTHE EMIRATES (DUBAI),"Unit #E-09, First Level, - ","009714 -3410445,"
2100,MAGRABI - DUBAI FESTIVAL CITY  (DUBAI),"Dubai Festival City, Unit #SC 222,First Floor, - ",009714 -2329866
2101,MAGRABI - DUBAI MALL (DUBAI),"Dubai Mall, Shop #GF 197 - ",009714 - 3398984 /  3399865
2102,MAGRABI - DUBAI MARINA MALL (DUBAI),"Dubai Marina Mall, Shop #GF 006 - ",009714 - 3997570
2103,MAGRABI - ARABIAN PLAZA (DUBAI),"Arabian Plaza, Shop #GF - 1622 - ",009714 - 2845530
2105,MAGRABI - MIRDIFF CITY CENTRE (DUBAI),"Mirdiff City center,Shop#D019 Ground Floor, - ",009714 -  2843246
3479,ASTER OPTICS  (DUBAI),"Bait al Waleed Building, Kalid Bin Waleed Road, Near to Al Fahidi Metro Station, Burdubai - ",009714 -3512447
3676,AL JABER OPTICAL CENTRE AL GHURAIR(DUBAI),"Shop No. G28, Ground Floor AL GHURAIR DUBAI UAE - ",(04)224-9444
3678,AL JABER OPTICAL CENTRE BIN SOUGAT(DUBAI),"GE-01,Ground Floor at Spinneys - ",(04)286-1180
3680,AL JABER OPTICAL CENTRE DCC (DUBAI),"Deira City Center Unit No. B68, Second Floor - ",(04)295-4400
3681,AL JABER OPTICAL CENTRE DFC (DUBAI),"Festival City Zone 8, Ground Floor - ",(04)232-6446
3682,AL JABER OPTICAL CENTER DUBAI MALL(DUBAI),"Dubai Mall Unit No. LG 099-1, Lower Ground Floor - ",(04)339-8100
3683,AL JABER OPTICAL DUBAI MARINA MALL(DUBAI),"DUBAI MARINA MALL Unit No. FF-050, First Floor - ",(04)399-7733
3685,AL JABER OPTICAL CENTRE EMAAR TOWN(DUBAI,"Emar Town Center  G-7, Ground Floor Dubai - ",(04)360-7466
3686,AL JABER OPTICAL-IBN BATTUTA  (DUBAI),"Ibn Battuta Shop No. 55, Tunisia Court, Dubai - ",(04)366-9806
3687,AL JABER OPTICAL CENTRE JUMEIRAH (DUBAI),"Jumeirah Town Center Shop No. 15, Ground Floor - ",(04)342-9933
3688,AL JABER OPTICAL CENTRE LAMCY PL (DUBAI),"Lamcy Plaza Unit No. 242/k-201, First Floor - ",(04)336-0773
3689,AL JABER OPTICAL CENT MOE (DUBAI),"Mall of the Emirates Unit No. D-17, Ground Floor - ",(04)341-1322
3691,AL JABER OPTICAL CENT MIRDIF(DUBAI),"Mirdif City Centre Shop No. F-050, First Floor - ",04-266-77-00 (HEAD OFFICE)
3692,AL JABER OPTICAL CENTRE SHEIKH ZR(DUBAI),"Sheikh Zayed 1 Ground Floor, Khalid Al Attar Tower, Sheikh Zayed Road - ",(04)331-1955
3693,AL JABER OPTICAL CENTRE - SHEIKH ZAYED 2,"Sheikh Zayed 2 Ground Floor, Al Ghadeer Building, Sheikh Zayed Road - ",(04)332-6236
3701,OPTXT 20/20 � AL AIN CENTER (DUBAI),"Al Ain Center, Shop No.23, Lower Ground Floor - ",(04)355-1313
3702,OPTXT 20/20 - DCC(DUBAI),"Shop No.E08B, Lower Ground Floor, - ",009714 2502277
3704,OPTXT 20/20 - MOE (DUBAI),"Shop No. B11b, Ground Floor, - ",009714 3850509
3705,E OPTICS LLC (AL JABER) (DUBAI),"Greens Centre, Behind EMAAR Business Park - ",009714 3639494
3941,OPTXT 20/20 SHINDAGA BR (DUBAI),"Shop #12 - Ground Floor, Shindaga Mall - ",+9714-2667700
5282,JAMIL OPTICS LLC DUBAI BRANCH(DUBAI),Next to WestZone Supermarket Near Burjuman Metro Station - ,043707008
5292,DUBAI OPTICAL (IBN BATTUTA)(DUBAI),"Shop 91, Ground Floor, Persian Court, IBN Battuta Mall - ",04-638-5539
5293,DUBAI OPTICAL (EMIRATES MALL)(DUBAI),"Unit B21, Ground Floor, In Front of Carrefour, Mall of the Emirates - ",04-341-4090
5294,DUBAI OPTICALS (L.L.C)BR(DUBAI MALL)(DUBAI),"Unit 134, Lower Ground, Lifestyle Shop,  Dubai Mall - ",04-434-1282
5296,DUBAI OPTICALS (BR.DFC)(DUBAI),"1st Floor, In Front of G2000 Shop, Dubai Festival City - ",04-2325692
5297,DUBAI OPTICAL-CITY CENTRE(DUBAI),"Unit D7, Lower Ground, Near Jacky's Electronics, City Centre, Deira - ",04-2941004
5298,ETIHAD OPTICAL VISION L.L.C (DUBAI),"1st Floor, Beside Zafran Restaurant, Mirdif City Centre - ",+971 42840103
5363,ASTER OPTICS 1 (BR OF ASTER OPTICALS LLC)(DUBAI),"The Ribbon Building 2, Al Hebiah first , Plot 94- 0, Motor City, Dubai - ",04-4427237
5364,ASTER OPTICS 2 (BR OF ASTER OPTICALS LLC)(DUBAI),"Shop No4, Al Manal Tower, Next to Crown Plaza Hotel, Sheikh Zayed Road, Dubai - ",04-3209345
5365,ASTER OPTICS 3 (BR OF ASTER OPTICALS LLC)(DUBAI),"Mohammed and Rasheed Khalifa Building, Iranian School Road, Opposite to Union Medical Center - ",04-3967100
5366,ASTER OPTICS 4 (BR OF ASTER OPTICALS LLC)(DUBAI),"Shop No.2, Al Qusais Buliding, Damascus Street, Al Qusais, Dubai - ",04-2349928
6114,RIVOLI EYE ZONE-ARABIAN CENTRE(DUBAI),"Gf, Next To Rivoli, Al Mizhar First, P.O. Box-31456Arabian Center, Dubai - ",+971-42322039
6115,RIVOLI EYE ZONE-DEIRA CITY CENTRE(DUBAI),"First Floor, Next To Tom'S - ",04 2590841
6116,RIVOLI EYE ZONE-DUBAI MARINA MALL(DUBAI),"Dubai Marina Mall, Gf, Next To Rivoli, Marina - ",+971-43792218
6117,RIVOLI EYE ZONE-OUTLET MALL(DUBAI),"G52, Dubai Outlet Mall - ",+97143617970
6118,RIVOLI EYE ZONE-THE DUBAI MALL(DUBAI),"The Dubai Mall, Al Khail , Second Floor-204 - ",
6119,RIVOLI EYE ZONE-THE DUBAI MALL (LOWER GROUND)(DUBAI),"Tdm-Lg-188, Rivoli Enterprises (L.L.C), The Dubai Mall - ",+97143253343
6121,RIVOLI EYE ZONE-OASIS CENTRE(DUBAI),"1 Al Waha Center,Alquoz Industrial-1,G Floor, Shaikh Zayed Road - ",04-3397647
6123,RIVOLI EYE ZONE-BURJUMAN MALL(DUBAI),"Rivoli Eyezone, Level 1, Burjuman Center,Next To Splash - ",+97143516788
6124,RIVOLI EYE ZONE-IBN BATUTTA MALL(DUBAI),"Gf185,India Court,Ibn Battuta - ",+97148826373
6125,RIVOLI EYE ZONE-MIRDIF CITY CENTRE(DUBAI),"Mirdiff City Cenre, Sheikh Mohammed Bin Zayed Road (E311 Road) Dubai - ",+97142843690
6126,RIVOLI EYE ZONE-DUBAI FESTIVAL CITY(DUBAI),"Fc084, Ground Floor, Next To Ahmed Siddiqui - ",
6554,AVANTI WORLDS FINEST EYEWEAR BR OF EXCEL ENTERPRISES LLC (DUBAI),"J032B, First Floor, Near Hugo Boss, Carrefour Entrance, Mall Of The Emirates - ",+971 43798177
6555,RIVOLI EYE ZONE BR OF EXCEL ENTERPRISES LLC - FESTIVAL PLAZA MALL (DUBAI),"SU116, Ground Floor, Near Ikea, Entrance 2, Festival Plaza Mall - ",+971 48816336
6557,RIVOLI EYE ZONE BR OF EXCEL ENTERPRISES LLC AL GHURAIR (DUBAI),"GB21, Ground Floor, Al Muraqqabat, Deira, Dubai - ",+97142561023
6558,RIVOLI EYE ZONE BR OF EXCEL ENTERPRISES LLC MERCATO (DUBAI),"First floor, Mercato Mall, Jumeirah beach Road, Jumeira-1, Dubai - ",+971 4 3427639
6559,RIVOLI EYE ZONE BR OF EXCEL ENTERPRISES LLC MOE (DUBAI),"J-16, First Floor, Opposite Marks & Spenser�s, Ski Dubai Entrance, Mall of the Emirates - ",+971 43260569
6560,RIVOLI EYE ZONE BR OF EXCEL ENTERPRISES LLC NAKHEEL MALL (DUBAI),"381, First Floor, Nakheel Mall, Palm Jumeirah, Dubai - ",+97143452312
6561,STYLE 88 BR OF EXCEL ENTERPRISES LLC- OUTLET VILLAGE (DUBAI),"N-04, Ground Floor, Galeries Lafayette Entrance, Outlet Village Mall - ",+971 42963108
6564,TAMAM OPTICAL LLC (DUBAI),"Al Qusais - 2, Al Nahda Street 155, Belresheed Bldg-1, Shop 1 - ",04 2520636
6692,MAX VISION TRADING LLC-INTERNATIONAL CITY BRANCH (DUBAI),"Shop 3, Ground Floor, Russia Cluster, V03, Interantional City, Opp. Dyar al sham Restaurent,  PO Box 239503, Al Warsan First - Dubai, United Arab Emirates",04-4564586
6693,MAX VISION TRADING LLC-KARAMA BRANCH (DUBAI),"Shop 25, Dubai Pyramid Building, Al Karama, Opp. Center Point, PO Box 239503 - Dubai, United Arab Emirates",04-8868718
6694,DXB MO DUBAI FESTIVAL CENTER (DUBAI),"FLOOR #1, UNIT #SC222, DUBAI FESTIVAL CITY - ",+9714 23 29 866
6695,NAU OPTICAL BR OF MAGRABI OPTICAL CO LLC DM (DUBAI),"TDM-LG-146-3 Dubai Mall/Burj Khalifa, Dubai - ",+971 4 3253003
6700,LIFE OPTICALS CO.LLC (DUBAI),"Shop 4 to 8, Raja & Sister Building, Plot 421-688, Opposite to Al Kabayal, Al Warqa, Dubai, UAE - ",04-5610000
6842,RIVOLI EYE ZONE BRANCH OF EXCEL ENTERPRISES LLC - DUBAI HILLS (DUBAI),"FF295, First Floor, Near Montblanc, Entrance 2, Al Khail Road - ",+97148926943
6843,AVANTI WORLDS FINEST EYEWEAR BR OF EXCEL ENTERPRISES LLC-MIRDIFF CITY CENTRE (DUBAI),"Ground Floor, Opposite Adidas, Mall Main entrance B, Dubai, Dubai - ",+97142593025
6844,AVANTI WORLDS FINEST EYEWEAR BR OF EXCEL ENTERPRISES LLC-DEIRA CITY CENTRE (DUBAI),"1st Floor, Next to Omega, Main Entrance, Deira City Centre, Dubai - ",+971 42593025
6845,AVANTI WORLDS FINEST EYEWEAR BR OF EXCEL ENTERPRISES LLC-DUBAI MALL (DUBAI),"2nd Floor, Opposite Montegrappa, New Fashion Avenue, New Fashion Avenue, Dubai - ",+971 43495401
6846,RIVOLI EYEZONE BR OF EXCEL ENTERPRISES LLC TDM3 (DUBAI),"FF135, First floor, opposite LA Senza, Fashion Avenue First floor, Dubai Mall - ",+97143200257
6847,RIVOLI EYE ZONE BR OF EXCEL ENTERPRISES LLC - WAITROSE MOTORCITY (DUBAI),"R04 ,Ground Floor, Opposite Waitrose , Main Entrance, Main Parking, Waitrose Motorcity, Dubai - ",+971 43380084
6848,STYLE 88 - DFC (DUBAI),"AT-028, First Floor, Opposite Ikea, Ikea Entrance, Ikea Parking, Dubai Festival City - ",+97142710580
6849,STYLE 88 - MOE (DUBAI),"F11 I, First Floor, Opposite DU, Metrolink Entrance, Carrefour entrance C parking, Mall of the Emirates - ",+971 43990681
6923,CRYSTAL VISION OPTICAL LLC (DUBAI), - ,+971 42588500
7041,OPTI VISION - DUBAI FESTIVAL PLAZA (DUBAI),"SU216, First Floor, Jabel Ali Village, Dubai Festival Plaza - ",045774741
7042,DUBAI OPTICAL - DUBAI HILLS MALL (DUBAI),"GF329, Dubai Hills Mall near P1-L Storm Coaster Entrance - ",043254954
7043,OPTI VISION - DUBAI OUTLET MALL (DUBAI),"F119, First Floor near food court, Dubai Outlet Mall, Dubai - ",042416165
1059,UNION PHARMACY (MOOPEN'S -DUBAI), - ,9714-393 5619
1060,ALQOUZ PHARMACY (MOOPENS-DUBAI),Behind Pepsi Cola Co. Al Qoze - ,9714-3384401
1061,IBN ALAZWAR PHARMACY (MOOPEN-DUBAI),"al aweer Garage, Near EPPCO - ",009714-3331504
1062,AL SHIFA PHARMACY (MOOPENS -DUBAI),"Iranian School Road, Karama - ",9714-396 9469
1063,ALJUMA PHARMACY (MOOPEN-DUBAI), - ,9714-334 8981
1064,NEW ALQOUZ PHARMACY (MOOPENS-DUBAI), - ,009714-3385854
1065,MEDFIRST PHARMACY (MOOPENS -DUBAI),"Al Twar Centre, AlQusais - ",009714-2617447
1066,ELIXIR PHARMACY (MOOPENS -DUBAI),"Sheikh Zayed Road , 1st Interchange - ",009714-3434575
1067,ASMA PHARMACY (MOOPENS -DUBAI), - ,9714-2222786
1068,WARQA PHARMACY-MOOPENS-(DUBAI), - ,9714-280 1691
1079,EHSAN PHARMACY (MOOPEN'S) -DUBAI,Deira - ,9714-2975986
1099,MEDI PRIME PHARMACY (DUBAI),"Ground  Floor, Sh. Saud Al Qasimi Building, Opp. Al Reef Mall, Salahuddin Road, Deira, Dubai - ",00971 4 3396072 (ALAWAL PHARMACY)
1100,ALAWWAL PHARMACY (DUBAI),"ABM Camp Building, Behind National Cement Factoryy, Alqouz - ",00971 4 3396072
1136,SHINDAGA PHARMACY (DR.MOOPENS)DUBAI,"Carrefour Hypermarket, BurDubai - ",9714-3933 889
1166,BURJUMAN PHARMACY (DUBAI),DUBAI - ,009714-3518825
1173,MODERN MEDI PRIME PHARMACY (DUBAI),"IBRI House, Sheikh Zayed Road, Adjacent to Nissan Showroom, Dubai - ",009714-3387387
1175,AXON MEDICA PHARMACY LLC-RASHIDIYA(DUBAI),"Ground Floor, Union Co-op Buiding, PO Box 62451, Rashidiya - Dubai, United Arab Emirates",43484991
1184,AJMAL PHARMACY (DUBAI),"Floor 1, 45B Street, Opposite Karama Fish Market, Near Karama Bus Station, Sony Building, PO Box 33811, Al Karama - Dubai, United Arab Emirates",9714-336 0801
1215,MEDI PRIME AL-MIZHAR PHARMACY (DUBAI),"Arabian Center, Shop No.1122, Al Khawanej Road, Al Mizhar, Dubai - ",9714-284 5674
1233,NEW MEDI PRIME PHARMACY (DUBAI),"3rd Floor, Burjuman Center, Khalid Bin Al Waleed Road, BUR DUBAI, DUBAI, UAE - ",+9714- 397 9636
1275,MARINA PEARL PHARMACY MOOPENS(DUBAI), - ,+9714-3380991
1277,AL RAHA PHARMACY-MOOPENS (DUBAI), - ,+9714-3523383
1278,AL MUSALLA PHARMACY-MOOPENS (DUBAI),"Kharbash Building, Jumeriah Road, Umm Suqem 1, Dubai, UAE - ",04-3284548
1279,MARYAM PHARMACY -MOOPENS(DUBAI),"Business Centre, Opp: Burjuman - ",+9714-3975581
1280,GOLDEN SANDS PHARMACY-MOOPENS (DUBAI), - ,+9714-3511444
1281,YACOUB PHARMACY-MOOPENS (DUBAI), - ,+9714-3523332
1282,NEW ALSHIFA(BR) PHARMACY-MOOPENS (DUBAI),"Russia Cluster No. V-20, Int'l City - ",+9714-4227474
1283,MEDSHOPS GARDEN PHARMACY-MOOPENS-(DUBAI),Dubai - ,+9714-4329596
1284,IQRA PHARMACY-MOOPENS (DUBAI),"OPP: Al Futtaim Mosque, Naif Road - ",+9714-2289164
1297,MEDSAVE PHARMACY-MOOPENS (DUBAI),"Near Union National Bank, Mirdiff - ",+9714-2847600
1299,IBN AL HAITHAM PHARMACY (DUBAI),opp: Dubai Central Post office - ,+9714-3964040
1339,AL ANBER PHARMACY (DUBAI),"Next to Mussalla tower, Bank street , Burdubai - ",+9714-3973396
1349,SONDOS PHARMACY (DUBAI),"SHEIKH SANA BLDG, NEAR DUNES BLDG, AL DIYAFAH ROAD, SATWA, DUBAI - ",+9714-3460660
1350,JUMEIRAH PHARMACY (DUBAI),"AL DIYAFAH STREET, SATWA - ",+9714-3459941
1351,SWISS PHARMACY L.L.C (DUBAI),"SHEIKH ZAYED ROAD, DUBAI - ",+9714-3430722
1352,GALLERIA PHARMACY (DUBAI),"NEAR HYATT REGENCY, DEIRA, DUBAI - ",+9714-2737450
1353,AL NAHDA PHARMACY (DUBAI),"SAHRARI VILLAGE, OPP: USED CAR COMPLEX, AWEER - ",+9714-3200501
1355,TIMES SQUARE PHARMACY (DUBAI),"TIMES SQUARE CENTER, SHEIKH ZAYED ROAD, DUBAI - ",+9714-3418063
1359,NAKHEEL PHARMACY (DUBAI),"BUILDING NO: 26, DUBAI HEALTHCARE CITY - ",+9714-4370530
1413,800 PHARMACY LLC (DUBAI),DUBAI MARINA WALK - ,+9714-3663410
1414,MARINA GREENS PHARMACY (DUBAI),"Located in Greens Besides, Emirates Golf Club - ",+9714-3663130
1415,MARINA JUMAIRAH PHARMACY (DUBAI),"Located at Opp: Dubai College, Near Emirates Coop.Society, Safouh - ",+9714-3486710
1416,MARINA MIRDIF PHARMACY (DUBAI),"Located in Spinneys, Community Center Mirdif - ",+9714-2888920
1417,MARINA OLD TOWN PHARMACY (DUBAI),"Located in Old Town, Burj Dubai - ",+9714-4201172
1418,MARINA CENTER PHARMACY (DUBAI),LOCATED IN DIFC - ,+9714-3637484
1419,MARINA PHARMACY PALM FZCO (DUBAI),LOCATED IN PALM JUMERIAH - ,+9714-4355963
1420,MARINA PHARMACY GATE (DUBAI),"LOCATED IN SHOP NO: 15, THE GATE BUILDING, GROUND FLOOR - ",+9714-4227915
1421,MARINA PHARMACY OASIS FZCO (DUBAI),"LOCATED IN COMMUNITY CENTER, DUBAI SILLICON OASIS - ",+9714-3264848
1422,800 PHARMACY LLC BRANCH (DUBAI),"LOCATED IN KNOWLEDGE VILLAGE, ASWAQ SUPERMAKET - ",+9714-4486054
1451,AL FARDOOS PHARMACY- DUBAI,"Behind Crystal Gallery Bldg, Hatta Oman Road,Ras Al Khor Industrial Area 1 - ",+9714-3334133
1452,ASTER AL SHAFAR PHARMACY (DUBAI),"Block C, Shop No.4 , Al Muhaisnah Star Building ,Opposite RTA office, Lulu Village, Muhaisina - ",04-2201489
